"P<sub>res</sub>, <span units="pressure"><span unitfor="PvtCalculatorForm[pressure]">atm</span></span>","T<sub>res</sub>, <span units="temperature"><span unitfor="PvtCalculatorForm[temperature]">C</span></span>","R<sub>s</sub>, <span units="Rs"><span unitfor="PvtCalculatorForm[Rs]">m<sup>3</sup>/m<sup>3</sup></span></span>","ρ<sub>oil</sub>, <span units="density"><span unitfor="PvtCalculatorForm[density]">kg/m<sup>3</sup></span></span>","B<sub>oil</sub>, <span units="fvf"><span unitfor="PvtCalculatorForm[fvf]">m<sup>3</sup>/m<sup>3</sup></span></span>","μ<sub>oil</sub>, <span units="viscosity"><span unitfor="PvtCalculatorForm[viscosity]">cP</span></span>","C<sub>oil</sub>, <span units="compressibility"><span unitfor="PvtCalculatorForm[compressibility]">atm<sup>-1</sup></span></span>","σ<sub>oil</sub>, <span units="tension"><span unitfor="PvtCalculatorForm[tension]">dyn/cm</span></span>"
"381","60","200","686.1","1.441","0.51","0.0002","1"
"382","60","200","686.3","1.441","0.51","0.0002","1"
"383","60","200","686.5","1.44","0.52","0.0002","1"
"384","60","200","686.6","1.44","0.52","0.0002","1"
"385","60","200","686.8","1.44","0.52","0.0002","1"
"386","60","200","686.9","1.439","0.52","0.0002","1"
"387","60","200","687.1","1.439","0.52","0.0002","1"
"388","60","200","687.2","1.439","0.52","0.0002","1"
"389","60","200","687.4","1.438","0.52","0.0002","1"
"390","60","200","687.5","1.438","0.52","0.0002","1"
"391","60","200","687.7","1.438","0.52","0.0002","1"
"392","60","200","687.8","1.437","0.52","0.0002","1"
"393","60","200","688","1.437","0.52","0.0002","1"
"394","60","200","688.1","1.437","0.52","0.0002","1"
"395","60","200","688.3","1.437","0.52","0.0002","1"
"396","60","200","688.4","1.436","0.53","0.0002","1"
"397","60","200","688.6","1.436","0.53","0.0002","1"
"398","60","200","688.7","1.436","0.53","0.0002","1"
"399","60","200","688.9","1.435","0.53","0.0002","1"
"400","60","200","689","1.435","0.53","0.0002","1"
"401","60","200","689.2","1.435","0.53","0.0002","1"
"402","60","200","689.3","1.434","0.53","0.0002","1"
"403","60","200","689.5","1.434","0.53","0.0002","1"
"404","60","200","689.6","1.434","0.53","0.0002","1"
"405","60","200","689.8","1.433","0.53","0.0002","1"
"406","60","200","689.9","1.433","0.53","0.0002","1"
"407","60","200","690.1","1.433","0.53","0.0002","1"
"408","60","200","690.2","1.432","0.53","0.0002","1"
"409","60","200","690.4","1.432","0.54","0.0002","1"
"410","60","200","690.5","1.432","0.54","0.0002","1"
"411","60","200","690.7","1.432","0.54","0.0002","1"
"412","60","200","690.8","1.431","0.54","0.0002","1"
"413","60","200","691","1.431","0.54","0.0002","1"
"414","60","200","691.1","1.431","0.54","0.0002","1"
"415","60","200","691.2","1.43","0.54","0.0002","1"
"416","60","200","691.4","1.43","0.54","0.0002","1"
"417","60","200","691.5","1.43","0.54","0.0002","1"
"418","60","200","691.7","1.43","0.54","0.0002","1"
"419","60","200","691.8","1.429","0.54","0.0002","1"
"420","60","200","692","1.429","0.54","0.0001","1"
"421","60","200","692.1","1.429","0.54","0.0001","1"
"422","60","200","692.2","1.428","0.55","0.0001","1"
"423","60","200","692.4","1.428","0.55","0.0001","1"
"424","60","200","692.5","1.428","0.55","0.0001","1"
"425","60","200","692.7","1.427","0.55","0.0001","1"
"426","60","200","692.8","1.427","0.55","0.0001","1"
"427","60","200","692.9","1.427","0.55","0.0001","1"
"428","60","200","693.1","1.427","0.55","0.0001","1"
"429","60","200","693.2","1.426","0.55","0.0001","1"
"430","60","200","693.3","1.426","0.55","0.0001","1"
"431","60","200","693.5","1.426","0.55","0.0001","1"
"432","60","200","693.6","1.425","0.55","0.0001","1"
